department,job_title,salary,nb_months
QFS - Facilities Ops & Maint,Supv-Maintenance,100704,12
YIA - Intercolleg Athletics,Deputy Dir-External Ops,190968,12
"OAS - Earth, Ocean & Atmo Sci",Faculty Research Assistant,58452,12
QFA - Human Res BC Ops - AABC,Human Resources Consultant 1,44784,12
CLA - Sch of Hist Phil & Rel,Assistant Professor,68436,9
SZO - Integrative Biology,Senior Instructor II,85248,12
FOR - Forest Ecosyst & Society,Professor,151704,12
XEM - Pre-College Programs,Dir-STEM Academy,77256,12
AFW - Fisheries and Wildlife,Senior Faculty Research Asst I,62004,12
RNR - Institute Natrl Res Dir,Sage Ecologist,48684,12
OAS - Ship Operations,"Master, R/V Elakha",58152,12
LCB - Acad Prog / Student Aff,Counselor,69516,12
YIA - Intercolleg Athletics,Administrative Assistant,49440,12
SPH - Physics,Associate Professor,91845,9
UPR - Equal Opportunity&Access,Affirmative Action Associate,62616,12
MSA - Diversity/Cultural Engag,Director of DCE,84048,12
"OAS - Earth, Ocean & Atmo Sci",Senior Faculty Research AsstII,142092,12
HHS - EXT 4-H YouthDev OffCmps,Coordinator 4-H Program,51348,12
FOR - Ext Forestry OFF Campus,Assistant Professor (Practice),72120,12
FOR - Forestry & Natrl Res Ext,Professor,88428,12
BUS - College of Business Dept,Associate Professor,169758,9
VCS - Vet Clinical Sciences,Assistant Professor,129228,12
ABP - Ag Botany / Plant Path,Assistant Professor,87426,9
BUS - College of Business Dept,Head Advisor,67956,12
ESE - Sch Elect Engr/Comp Sci,Assoc.Sch Head-Undergrd prog,203820,12
PHR - Pharmacy Professnl Instr,Assistant Professor,111780,12
JIS - Web and Mobile Services,Mobile Experience Manager,76500,12
BUS - College of Business Dept,Assistant Professor,123615,9
"CLA - Sch Lang, Culture & Soc",Professor,123255,9
SCI - College of Science Admin,Advisor-Academic,42e3,12
SPH - Physics,Professor,106704,9
EMM - Sch of Mech/Ind/Mfg Engr,Academic Advisor,47004,12
VCS - Vet Clinical Sciences,Assistant Professor (Clinical),124020,12
VBS - Vet Biomedical Science,Faculty Research Assistant,44064,12
CLA - Sch of Hist Phil & Rel,Professor,112878,9
PHR - Pharmacy Professnl Instr,InterimDeanCollegePharmacy,255e3,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,45780,12
AGA - College of Ag Admin,Web 2.0 Designer,90996,12
QFA - Human Resources-Central,Communications Specialist,70008,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,37476,12
JIS - Client Services,INTO OSU IT Coordinator,63036,12
GRD - Graduate School Admin,Exec Asst to the Dean,72132,12
"CLA - Sch Lang, Culture & Soc",Academic Advisor,49836,12
XMS - Marine Studies Initiatv,Academic Advisor,49320,12
RDR - Linus Pauling Institute,Senior Faculty Research Asst I,62424,12
SZO - Integrative Biology,Advisor-Academic,47724,12
ABP - Ag Botany / Plant Path,Research Associate (Post Doc),50880,12
HHS - Sch of Bio/Pop Hlth Sci,Admin Asst to School Head,54e3,12
"OAS - Earth, Ocean & Atmo Sci",Professor,126828,12
SCH - Chemistry,Professor,124200,9
FOR - Forest Eng/Resourcs/Mgmt,Associate Professor,115002,9
HHS - EXT 4-H YouthDev OnCmps,Associate Professor,110028,12
SST - Statistics (Science),Director-Survey Research Cntr,164436,12
"OAS - Earth, Ocean & Atmo Sci",Professor,126672,12
RDR - Ctr Excellnce Genome Res,Faculty Research Assistant,75e3,12
RIP - VP for Research,Administrator-IRB Compliance,100896,12
AFW - Fisheries and Wildlife,Assistant Professor,83142,9
ASU - Southern Oregon Exp Sta,Assistant Professor,76779,9
ACS - Crop and Soil Science,Supv-Purity,52464,12
QFA - Human Res BC Ops - ASBC,Human Resources Consultant 1,42528,12
AAR - Applied Economics,Professor,130275,9
QFA - Budget / Fiscal Planning,Dir-Administrative Services,164304,12
RMS - Hatfield Marine Sci Ctr,Mgr-HMSC Facilities,100896,12
CLA - Sch of Wrtg Lit & Film,Distinguished Professor,123651,9
CLA - Liberal Arts Admin,Finance & Strategic Op Analyst,84e3,12
YIA - Intercolleg Athletics,Asst Coach-Women’s Softball,50004,12
ATX - Enviro / Molecular Toxic,Faculty Research Assistant,48900,12
ECB - Sch of Chem/Bio/Envr Eng,Research Associate (Post Doc),59592,12
"OAS - Earth, Ocean & Atmo Sci",Research Associate (Post Doc),56664,12
ESE - Sch Elect Engr/Comp Sci,Assistant Professor,104625,9
CLA - School of Public Policy,Associate Professor,89568,9
SCH - Chemistry,Research Associate (Post Doc),35772,12
ECB - Sch of Chem/Bio/Envr Eng,Professor,149301,9
HHS - Sch of Soc/Bhav Hlth Sci,Assistant Professor,78669,9
AHE - Hermiston Exp Sta,Research Associate (Post Doc),47424,12
LCB - Community Relatns/Admin,Director Bus Serv & Analytics,95268,12
EMM - Sch of Mech/Ind/Mfg Engr,Professor-Endowed,164664,9
RIP - VP for Research,Chief Startup Officer,137052,12
CLA - Sch of Psychological Sci,Professor,112320,9
"OAS - Earth, Ocean & Atmo Sci",Advisor-Academic,52152,12
YIA - Intercolleg Athletics,Assoc Trainer-Athletics,61560,12
AFS - Food Science and Techno,Associate Professor,110688,12
PHR - Pharmacy Professnl Instr,Senior Instructor I,120192,12
XEM - Financial Aid,Assoc Director-Fin Aid Systems,94236,12
***Change to 104000 eff 7/1/19,Instruct Design Specialist,62100,12
LCB - Acad Prog / Student Aff,Associate Professor,75339,9
***Change to 104000 eff 7/1/19,Research Director,105588,12
YIA - Intercolleg Athletics,Asst Coach-Football,500004,12
QFA - Human Resources-Central,Officer-Class Comp,63504,12
XEM - Office of the Registrar,VA Educ Benefit Comp Officer,47820,12
ACS - Crop and Soil Science,Senior Instructor I,67548,12
***Change to 104000 eff 7/1/19,Senior Analyst,9e4,12
JIS - IT Infrastructure Svcs,BIC Operations Manager,99684,12
AFC - Food Innovation Center,Associate Professor (Sr Res),100752,12
HHS - EXT Fam/CommHlth OffCmps,Assistant Professor (Practice),60540,12
LCB - Acad Prog / Student Aff,Associate Professor,74673,9
ABP - Ag Botany / Plant Path,Dir-Herbarium,132768,12
ABE - Biol & Ecol Engineering,Professor,121833,9
ESE - Sch Elect Engr/Comp Sci,Professor,154404,9
ECC - Sch of Civil/Constr Engr,Professor,138078,9
HHS - EXT 4-H YouthDev OffCmps,Senior Instructor I,68844,12
XEM - Admissions,Transfer Coordinator,37008,12
DLB - Library,Assistant Professor,56352,12
ACS - Crop and Soil Science,Instructor,62928,12
NIA - University Marketing,Specialist 2-Univ News & Comm,53964,12
SMT - Mathematics,Associate Professor,94221,9
VBS - Vet Biomedical Science,Professor,165648,12
SCH - Chemistry,Assistant Professor,81252,9
***Change to 104000 eff 7/1/19,Spec - Instructional Design,67692,12
XEM - Financial Aid,Assistant Director,53784,12
HHS - Sch of Soc/Bhav Hlth Sci,Admin Asst to School Head,52008,12
HHS - Sch of Bio/Pop Hlth Sci,Assistant Professor,78813,9
EMM - Sch of Mech/Ind/Mfg Engr,Professor,142740,9
CLA - New Media Communications,Associate Professor,81675,9
JIS - IT Infrastructure Svcs,Director-Identity and Access,132084,12
ECC - Sch of Civil/Constr Engr,Director Hinsdale Wave Lab,126396,12
MSA - Univ Exploratory Studies,Academic Advisor,45864,12
JIS - Info Svcs Central Admin,Info Security Analyst,6e4,12
AFW - Fisheries and Wildlife,Faculty Research Assistant,42e3,12
QFA - Human Resources-Central,Employee Relations Officer 1,72e3,12
AGA - College of Ag Admin,Associate Dean,207168,12
MSH - Student Health Services,Medical Reception Manager,6e4,12
QFA - Human Resources-Central,Human Resources Consultant 2,60564,12
SBB - Biochem / Biophysics,Faculty Research Assistant,48096,12
QFA - Human Resources-Central,Exec Asst to Chief HR Officer,65004,12
XUS - VP Undergrad Education,Associate Professor,79623,9
XPV - Provost / Exec Vice Pres,ExecSecretarytotheProvost,64596,12
TEE - Out & Engage Open Campus,Student Success Coordinator,52008,12
ABP - Ag Botany / Plant Path,Research Associate,59028,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,53028,12
AFW - Fisheries and Wildlife,Supervisor-Univ Facit/Ops,55020,12
YIA - Intercolleg Athletics,Quality Cntrl Analyst-Football,85008,12
ECC - Sch of Civil/Constr Engr,Assistant Professor,90585,9
SMB - Microbiology (Science),Assistant Professor (Sr Res),83808,12
ESE - Sch Elect Engr/Comp Sci,Engineer-Systems Dev BSG Sr,79668,12
SZO - Integrative Biology,Endowed Chair/Dist Prof,245430,9
TEX - Ext Benton County Office,Outreach Program Coordinator,52032,12
AHT - Horticulture,Faculty Research Assistant,47880,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,41592,12
HHS - Sch of Soc/Bhav Hlth Sci,Associate Professor,99378,9
JIS - Telecommunication,Exec Asst-Info Services,69132,12
HHS - Physical ActivityCourses,FSF Instructor,45744,12
LCB - Community Relatns/Admin,Business Office Manager,78492,12
ABP - Ag Botany / Plant Path,Specialist-Rsch Data Interface,73800,12
MSA - Family Resource Center,Director,85200,12
AHE - Hermiston Exp Sta,Assistant Professor,76284,9
HHS - EXT 4-H YouthDev OnCmps,Coord-4-H Program,58548,12
NCS - News&Research Communctns,News and Research Writer,54456,12
QCP - Capital Planning & Devlp,Mgr-Construction,84e3,12
QFA - Human Res BC Ops - ASBC,Human Resources Consultant 1,42864,12
FOR - Forest Ecosyst & Society,Assistant Professor (Sr Res),65376,12
ACS - Crop/Soil Extn Field Fac,Professor,97692,12
ACS - Crop and Soil Science,Assistant Professor,80181,9
HHS - EXT Fam/CommHlth OffCmps,Coord-Education,53640,12
XEM - Financial Aid,Advisor-Financial Aid,44292,12
TOS - Outdoor School,ODS Regional Coordinator,64500,12
QBC - Bus & Engr Business Ctr,Finance Coordinator,67884,12
AFW - Fisheries and Wildlife,Assistant Professor (Sr Res),80112,12
ACT - Central Oregon Exp Sta,Office Manager,56676,12
FOR - Forest Eng/Resourcs/Mgmt,Associate Professor,109098,9
SZO - Integrative Biology,Professor,121293,9
FOR - Forest Ecosyst & Society,Senior Faculty Research AsstII,67596,12
ECC - Sch of Civil/Constr Engr,Research Associate (Post Doc),48864,12
EMM - Sch of Mech/Ind/Mfg Engr,Assistant Professor,98073,9
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,39516,12
FOR - TallWood DesignInstitute,Dir-TallWood Design Institute,135204,12
HHS - Sch of Bio/Pop Hlth Sci,Associate Professor,90774,9
ACB - Columbia Basin Exp Sta,Professor,120648,12
XEM - Admissions,Regional Admissions Advisor,48912,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,39504,12
AHT - Horticltr Extn Field Fac,Associate Professor (Practice),70872,12
HHS - Sch of Soc/Bhav Hlth Sci,Associate Professor,86211,9
CLA - Sch of Psychological Sci,Assistant Professor,71262,9
YIA - Intercolleg Athletics,Assoc AD-Sports Performance,178560,12
SZO - Integrative Biology,Professor-Endowed Chair,174996,9
HHS - Public Hlth/HumanSci Adm,Academic Advisor,49008,12
SCH - Chemistry,Director,93612,12
ASF - COMES - Newport Exp Sta,Faculty Research Assistant,40008,12
NIA - Oregon State Productions,Science Documentary Producer,56496,12
SST - Statistics (Science),Associate Professor,98082,9
"CLA - Sch Lang, Culture & Soc",Assistant Professor,63009,9
"CLA - Sch Lang, Culture & Soc",Associate Professor,77958,9
HHS - EXT 4-H YouthDev OnCmps,Associate Professor,85620,12
ESE - Sch Elect Engr/Comp Sci,Associate Professor,121140,9
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,54084,12
FOR - Forest Ecosyst & Society,Mgr-Administrative,68472,12
QFA - Human Resources-Central,"Sr Consultant, Ldrshp/Prof Dev",74292,12
FOR - Forest Ecosyst & Society,Faculty Research Assistant,50604,12
VBS - Vet Biomedical Science,Professor,176724,12
FOR - Forest Eng/Resourcs/Mgmt,Professor,144876,12
MHD - Univ Housing and Dining,"Assistant Director, Operations",78168,12
PHR - Pharmacy Professnl Instr,Professor,201780,12
QFA - Human Res BC Ops - ASBC,Human Resources Consultant 1,40500,12
JIS - Client Services,"Asst Dir, IT Client Services",93732,12
SCH - Chemistry,Professor,113823,9
HHS - EXT Fam/CommHlth OffCmps,Assistant Professor (Practice),60360,12
FOR - Forest Eng/Resourcs/Mgmt,Senior Faculty Research AsstII,79260,12
YIA - Intercolleg Athletics,Dir-Ticket Ops,54516,12
QFS - Facilities Ops & Maint,Director-Facilities and Maint,134868,12
"CLA - Sch Lang, Culture & Soc",Associate Professor,86301,9
CLA - Sch of Wrtg Lit & Film,Associate Professor,77490,9
ACS - Crop/Soil Extn Field Fac,Instructor,69216,12
FOR - Wood Science / Engr,Education/Internship Coord,54624,12
MSA - CrossCampusStratInttves,Director of CCSI,78012,12
ESE - Sch Elect Engr/Comp Sci,Academic Advisor,54144,12
AGA - College of Ag Admin,Web Group Manager,70296,12
VCS - Vet Clinical Sciences,Associate Professor (Clinical),147876,12
FOR - Forest Ecosyst & Society,Instructor,71736,12
CLA - Sch of Psychological Sci,Asst to School Director,60780,12
HHS - Sch of Soc/Bhav Hlth Sci,Senior Instructor I,58833,9
SPH - Physics,Professor,126648,9
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,53028,12
ENS - Sch Nuclear Sci & Engr,Professor,128097,9
BUS - College of Business Dept,Academic Advisor,48768,12
ATX - Enviro / Molecular Toxic,Professor,125451,9
SBB - Biochem / Biophysics,Manager 2 Research Ops,50004,12
BUS - College of Business Dept,InnovationX Program Manager,55008,12
"OAS - Earth, Ocean & Atmo Sci",Dean,294192,12
LCB - Acad Prog / Student Aff,Assistant Professor,58500,9
"OAS - Earth, Ocean & Atmo Sci",Senior Faculty Research Asst 1,73692,12
DLB - Library,Director - Guin Library,90012,12
BUS - College of Business Dept,Professor,94158,9
"OAS - Earth, Ocean & Atmo Sci",Senior Faculty Research AsstII,130404,12
TEX - Ext No Willamette Co Off,Faculty Research Assistant,45e3,12
DLB - Library,Assistant Professor,60252,12
INT - INTO OSU Program,Instructor (ESL),48060,12
MSA - Coll Assistnc Migrnt Prg,HEP Prog. Student Coord.,55620,12
ESE - Sch Elect Engr/Comp Sci,Academic Advisor,54012,12
BUS - College of Business Dept,Associate Professor,151821,9
SZO - Integrative Biology,Mgr-Collection Curator,69672,12
ESE - Sch Elect Engr/Comp Sci,Admissions Advisor,51e3,12
JIS - Inst Analytcs & Reportng,Analyst-Senior Inst Research,76092,12
QIA - UnivFacInfra&OpsAdminSvc,Strategic Web & Integr Com Mgr,74160,12
LCB - Acad Prog / Student Aff,Asst Dir Student Life,64008,12
HHS - Sch of Bio/Pop Hlth Sci,Research Associate,54408,12
MRS - Recreational Sports,Coord-Sport Programs,52008,12
MSA - Diversity/Cultural Engag,Assoc.Dir-Integrated Learning,68460,12
MSA - Univ Exploratory Studies,Academic Advisor,45864,12
XEM - Admissions,Transfer Coordinator,36228,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,56148,12
ECC - Sch of Civil/Constr Engr,Assistant Dean,112800,12
SZO - Integrative Biology,Professor,157248,9
AFC - Food Innovation Center,Senior Faculty Research AsstII,109404,12
YIA - Intercolleg Athletics,Sr Assoc AD-Stu Athlete Dev,159144,12
HHS - Sch of Bio/Pop Hlth Sci,Assistant Professor,83430,9
SMB - Microbiology (Science),Instructor,62508,12
JIS - Inst Analytcs & Reportng,Data Modeler,78e3,12
ASC - Animal & Rnglnd Sciences,Associate Professor,92205,9
TEE - Professional & Cont Educ,Coordinator-Outreach Program,69432,12
"OAS - Earth, Ocean & Atmo Sci",Professor,138456,12
XEM - Office of the Registrar,AssocProv EnrollMgmt/Registrar,169968,12
BUS - College of Business Dept,Associate Professor,163746,9
ESE - Sch Elect Engr/Comp Sci,Professor,201015,9
RDR - CIMRS (Inst/Marine Res),Associate Professor (Sr Res),116460,12
RNR - Institute Natrl Res Dir,Research Associate,68640,12
OAS - Ship Operations,Engineer-Port,82764,12
TEX - Ext Clackamas Co Office,Coordinator-Outreach Program,65124,12
JIS - Inst Analytcs & Reportng,Administrator 3-Operations,66528,12
FOR - Forest Eng/Resourcs/Mgmt,Research Associate,6e4,12
YIA - Intercolleg Athletics,Head Coach-Women’s Rowing,105e3,12
ESE - Sch Elect Engr/Comp Sci,Professor,177885,9
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,40560,12
MSA - NewStdntPrgs&FamlyOutrch,Director of NSPFO,78528,12
MUN - Memorial Union,"Assistant Director, Facilities",97008,12
TEX - Ext/Exp S Communications,Supervisor Web,76176,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,38460,12
AGA - College of Ag Admin,Head Advisor,65004,12
MSA - Educ Opportunities Progm,Coord-Acad Engmnt Cultural Cnt,54636,12
***Change to 104000 eff 7/1/19,Assistant Director,75e3,12
***Change to 104000 eff 7/1/19,Instruct Design Specialist,6e4,12
INT - INTO OSU Program,"Assist Manager, Grad Prog",46500,12
HHS - EXT 4-H YouthDev OffCmps,Coord-4-H Program,54e3,12
CLA - Music Department,Professor,110466,9
AFW - Fisheries and Wildlife,Faculty Research Assistant,39060,12
QFA - Human Resources-Central,Consultant-Benefits,45e3,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,40572,12
***Change to 104000 eff 7/1/19,Instruct Design Specialist,62400,12
CLA - Sch of Psychological Sci,Professor,118386,9
RIP - VP for Research,Assoc Director Award Comp,82884,12
DLB - Library,Coord of Reference Services,55500,12
BUS - College of Business Dept,Program Manager,57408,12
HHS - Public Hlth/HumanSci Adm,Director-Endowed HallieFordCtr,18e4,12
AHT - Horticulture,Senior Faculty Research Asst I,49596,12
ABP - Ag Botany / Plant Path,Specialist 2-IT Web,52008,12
YIA - Intercolleg Athletics,Asst AD-Equipment Ops,78876,12
PHR - Pharmacy Professnl Instr,Faculty Research Assistant,6e4,12
TEE - Out & Engage Open Campus,Education Coordinator,65664,12
DLB - Library,Collections Archivist,57348,12
TEX - Ext Wasco County Office,Administrator Office Manager,57216,12
YIA - Intercolleg Athletics,Asst Trainer-Athletics,50736,12
ABP - Ag Botany / Plant Path,Professor,108495,9
RNR - Institute Natrl Res Dir,Faculty Research Assistant,49440,12
XPV - Provost / Exec Vice Pres,ExecAsstSpecEvntsOutrch,80952,12
QUB - Dept of Public Safety,Operations Lieutenant,93e3,12
AHT - Horticulture,Senior Faculty Research AsstII,66036,12
LCB - Acad Prog / Student Aff,Admissions Advisor,36504,12
YIA - Intercolleg Athletics,Head Coach-Strength&Cond,200004,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,41592,12
JIS - Web and Mobile Services,IT Communications Manager,60048,12
AHT - Horticulture,Advisor-Academic,50688,12
ACS - Crop and Soil Science,Assistant Professor,80748,9
***Change to 104000 eff 7/1/19,Proctoring Manager,57e3,12
DLB - Library,Assistant Professor,62292,12
QIA - UnivFacInfra&OpsAdminSvc,Executive Assistant,70500,12
SBB - Biochem / Biophysics,Associate Professor,81351,9
ZSS - Univ Shared Svcs Entrprs,Mgr-Financial Reporting,92232,12
YIA - Intercolleg Athletics,Dir-Football Video & Tech,66960,12
LCB - Acad Prog / Student Aff,Head Advisor,6e4,12
AFS - Food Science and Techno,Professor,152724,12
TEX - Ext Benton County Office,Administrator Office Manager,52452,12
RNR - Institute Natrl Res Dir,Faculty Research Assistant,42300,12
AED - Ag Ed/Gen Extn Field Fac,Assistant Professor (Practice),54e3,12
PHR - Pharmacy Professnl Instr,Associate Professor,131148,12
QBC - Bus & Engr Business Ctr,Mgr-Business Center,144e3,12
SPH - Physics,Professor,116217,9
AEU - EOARC - Union Exp Sta,Facilities & Budget Manager,63408,12
"OAS - Earth, Ocean & Atmo Sci",Assistant Professor (Sr Res),78036,12
ESE - Sch Elect Engr/Comp Sci,Academic Advisor,50508,12
VCS - Vet Clinical Sciences,Professor,165360,12
KED - College of Education,Education Grad Pgrm Instructor,58008,12
NLS - Conference Services,Mgr-Contract & Event Services,51672,12
QRS - Enterprise Risk Services,Interim Chief Risk Officer,12e4,12
FOR - Forest Ecosyst & Society,Mgr-Nat Res Prog/Advisor-Acad,64992,12
JIS - IT Infrastructure Svcs,IT Infrastructure Manager,100008,12
BUS - College of Business Dept,Exec Asst to the Dean,68736,12
MSH - Student Health Services,Director-SHS Information Svcs,118464,12
SST - Statistics (Science),Assistant Professor,89748,9
SZO - Integrative Biology,Coord-UndergradSucces&Engagmnt,69132,12
ACS - Crop/Soil Sci Extension,Extension Seed Cert Spec,87900,12
JIS - Info Svcs Central Admin,Assist Provost-Info Security,186e3,12
UPR - Office of the President,Coord-Government Relations,52548,12
HHS - Sch of Bio/Pop Hlth Sci,Assistant Professor (Sr Res),130008,12
BUS - College of Business Dept,Senior Instructor I,78363,9
AED - General Agriculture,Administrative Manager,52008,12
PHR - Pharmacy Professnl Instr,Professor,142020,12
GRD - Graduate School Admin,Spec- Web Strat Digital Comm,73188,12
SCI - College of Science Admin,Exec Asst to Dean,67260,12
MRS - Recreational Sports,Asst Dir-Facilities/Custodial,65664,12
UPR - Equal Opportunity&Access,Affirmative Action Manager,82452,12
"OAS - Earth, Ocean & Atmo Sci",Research Associate (Post Doc),64488,12
MSA - International Services,International Student Advisor,43644,12
ZSS - Univ Shared Svcs Entrprs,Asst Director-Labor Relations,132e3,12
VCS - Vet Clinical Sciences,Assistant Professor (Clinical),109092,12
MHD - Univ Housing and Dining,Asst Dir-Living Learning Comm,76932,12
QFA - Human Resources-Central,HR OfficerÿRetirement,56004,12
VBS - Vet Biomedical Science,Associate Professor,107163,9
UPR - Office of the President,Senior Assoc Gen Counsel,178548,12
MHD - Dining Centers,Food & Beverage Manager,67608,12
YIA - Intercolleg Athletics,Asst Coach-Wrestling,95004,12
HHS - Sch of Bio/Pop Hlth Sci,Faculty Research Assistant,45720,12
ABP - Ag Botany / Plant Path,Associate Professor,102483,9
SBB - Biochem / Biophysics,Professor,125406,9
AHT - Horticulture,Oregon Hazelnut Ind. Professor,133920,12
RIP - VP for Research,Cayuse Administrator,42420,12
"OAS - Earth, Ocean & Atmo Sci",Professor,109908,9
FOR - Forest Ecosyst & Society,Research Associate,54e3,12
ACS - Crop and Soil Science,Research Associate (Post Doc),48420,12
KED - College of Education,Coordinator-Comm&Mktg,48e3,12
AHT - Horticulture Extension,Assistant Professor,78210,9
AAR - Applied Economics,Assistant Professor,99243,9
NLS - Conference Services,Event Services Manager,44508,12
RDR - CIMRS (Inst/Marine Res),Professor (Sr Res),122388,12
DLB - Library,Dir-Emerg Tech & Serv,91944,12
QRS - Enterprise Risk Services,Officer-HR Empl Benefits,66180,12
QBC - Univ Admin Business Ctr,Finance Coordinator,64692,12
MHD - Dining Centers,Dining Operations Manager,55656,12
FOR - Forestry & Natrl Res Ext,OELP Project Coordinator,43008,12
HHS - Sch of Soc/Bhav Hlth Sci,Associate Professor,92844,9
CLA - School of Public Policy,Professor,128061,9
SZO - Integrative Biology,Distinguished Professor,233946,9
EMM - Sch of Mech/Ind/Mfg Engr,Faculty Research Assistant,48e3,12
EMM - Sch of Mech/Ind/Mfg Engr,Assistant Professor,100863,9
"OAS - Earth, Ocean & Atmo Sci",Academic Advisor,51e3,12
FOR - College of Forestry Adm,International Programs Coord,46584,12
RIP - Radiation Center,Physicist-Health Senior,86700,12
RDR - CIMRS (Inst/Marine Res),Senior Faculty Research Asst I,64824,12
AHT - Horticulture,Faculty Research Assistant,43260,12
UPR - Equal Opportunity&Access,Dir-Access&Affirmative Action,103164,12
JIS - Inst Analytcs & Reportng,Analyst-IT Systems,89772,12
QFA - Human Res BC Ops - AMBC,Human Resources Consultant 1,48408,12
ATX - Enviro / Molecular Toxic,Research Associate (Post Doc),6e4,12
PHR - Pharmacy Professnl Instr,Administrative Supervisor,61560,12
"OAS - Earth, Ocean & Atmo Sci",Mgr-Res Publishing/Outreach,84492,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,42636,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,45768,12
VTH - Vet Teaching Hospital,Coord-VTH Patient Svcs SA,66948,12
ABP - Ag Botany / Plant Path,Research Associate (Post Doc),48864,12
YIA - Intercolleg Athletics,Asst Coach-Football,425004,12
RDR - Linus Pauling Institute,Research Associate,66216,12
DLB - Library,Associate Professor,92076,12
PHR - Pharmacy Professnl Instr,Faculty Research Assistant,91188,12
HHS - EXT 4-H YouthDev OffCmps,Coord-4H Programs,51396,12
"OAS - Earth, Ocean & Atmo Sci",Senior Faculty Research Asst I,84312,12
ENS - Sch Nuclear Sci & Engr,Assistant Professor (Sr Res),92700,12
AAR - Applied Economics,Research Associate (Post Doc),61800,12
FOR - College of Forestry Adm,Mgr-College Proj & Maintenance,65604,12
FOR - Forestry & Natrl Res Ext,Dir-OR Nat Res Ed Prog,64008,12
MSH - Student Health Services,Collegiate Recovery Coord,59004,12
***Change to 104000 eff 7/1/19,Marketing Manager,66528,12
"QBA - Procur,Cont&MaterialsMgt",Contracts Officer-IP,87576,12
YIA - Intercolleg Athletics,Asst Coach-Wrestling,85008,12
ASF - COMES - Newport Exp Sta,Professor,117216,12
AFC - Food Innovation Center,Facilities and Operations Mgr,83760,12
MRS - Recreational Sports,Coord-Facility Sched/Event Svc,60468,12
VCS - Vet Clinical Sciences,Senior Instructor I,116340,12
YIA - Intercolleg Athletics,Asst AD-Compliance,65004,12
RDR - AdvTech&MftgInst (ATAMI),Mgr-MBI Process Development,132144,12
ESE - Sch Elect Engr/Comp Sci,Coord-Industry Partnerships,81288,12
ECC - Sch of Civil/Constr Engr,Associate Professor,122040,9
AHT - Horticltr Extn Field Fac,Associate Professor (Practice),84936,12
RSG - Sea Grant Extension,Clinical Vet - Fisheries,82632,12
JIS - IT Infrastructure Svcs,ITSM Analyst,57840,12
AED - General Agriculture,Academic Advisor Consultant,51132,12
MSA - Student Conduct,Director of SCCS,87564,12
ABP - Ag Botany / Plant Path,Associate Professor (Sr Res),86052,12
XMS - Marine Studies Initiatv,Associate Director,95460,12
AHT - Horticulture,Senior Instructor I,51408,9
XUS - OSU Global Opportunities,Internships Manager,57180,12
"CLA - Sch Lang, Culture & Soc",Asst to School Director,66444,12
ASC - Animal & Rnglnd Sciences,Administrative Manager,51504,12
VCS - Vet Clinical Sciences,Associate Professor,155076,12
AMB - Microbiology (Ag),Senior Faculty Research Asst I,69504,12
RIP - Radiation Center,Professor,109836,12
SPH - Physics,Associate Professor,94050,9
HHS - Hlth Hum Sci SW Outreach,Director-TEAM OREGON,123072,12
PHR - Pharmacy Professnl Instr,Associate Professor (Sr Res),102816,12
BUS - College of Business Dept,E-Campus Advisor,50004,12
ABP - Ag Botany / Plant Path,Faculty Research Assistant,39240,12
BUS - College of Business Dept,Dir-Strategic Partnerships,109680,12
VMD - Veterinary Medicine,Vet Med Facilities Supv,63348,12
SPP - Professional SuccessPtnr,Assoc Dir of Learning Exp Dsgn,80004,12
LCB - Community Relatns/Admin,Custodial Ops Supervisor,56796,12
"OAS - Earth, Ocean & Atmo Sci",Distinguished Professor,186528,12
"CLA - Sch Lang, Culture & Soc",Associate Professor,82107,9
RMS - Hatfield Marine Sci Ctr,Research Facility Coordinator,56172,12
RIP - VP for Research,ExecAsst/DoD FacSec Offcr,69492,12
HHS - Sch of Soc/Bhav Hlth Sci,Assistant Professor,83754,9
ABP - Ag Botany / Plant Path,Research Associate,49668,12
HHS - Sch of Bio/Pop Hlth Sci,Associate Professor,96948,9
SST - Statistics (Science),Assistant Professor,85005,9
ASC - Animal & Rnglnd Sciences,Instructor,60072,12
SST - Statistics (Science),Associate Professor,112635,9
AHT - Horticltr Extn Field Fac,Master Gardener Coordinator,56064,12
MHD - Dining Centers,Sous Chef,46416,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,36432,12
